id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24401,-123.04772,Private room,45,30,53,2017-08-19,0.69,1,341
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24356,-123.04757,Private room,40,30,41,2013-09-09,0.41,5,155
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Stephen,,Mount Pleasant,49.26382,-123.10484,Entire home/apt,100,6,121,2020-03-22,1.61,1,301
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.25757,-123.18966,Entire home/apt,171,4,159,2021-06-01,2.18,1,279
172827,Charming and Homely Downtown Penthouse,19982,Fernande,,Downtown,49.28034,-123.12648,Entire home/apt,400,10,7,2019-01-05,0.19,1,0
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27857,-123.0899,Entire home/apt,90,30,116,2017-12-26,1.34,1,188
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25808,-123.16824,Entire home/apt,131,30,57,2020-01-20,1.20,1,65
219261,A Real Gem in the Heart of Kits,1135259,Rami,,Kitsilano,49.2719,-123.15043,Entire home/apt,206,7,207,2020-01-20,4.00,2,279
236297,West End Retreat - Private Room/Bath,1238915,Adam,,West End,49.28993,-123.13879,Private room,150,1,40,2019-06-09,0.47,1,87
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100,31,1,2014-09-04,0.01,1,202
248973,East Vancouver Hidden Gem,1304461,Shelley,,Hastings-Sunrise,49.28145,-123.05544,Entire home/apt,199,2,87,2019-08-21,2.38,1,294
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28375,-123.10383,Entire home/apt,250,3,70,2019-09-15,1.10,1,0
256178,Luxury Coach House in Kitsilano,1267409,Cormac,,Kitsilano,49.26293,-123.17143,Entire home/apt,370,2,14,2020-12-27,0.13,2,233
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,,Downtown,49.27839,-123.12852,Entire home/apt,99,120,53,2018-08-10,0.75,1,129
283841,D27 - 3 Bedroom in Coal Harbour,30899,Rami,,Downtown,49.28906,-123.12505,Entire home/apt,197,90,2,2012-04-01,0.02,41,0
303950,"West Coast Stunner!  Mountain view, central",196890,Siobhan,,Mount Pleasant,49.26229,-123.08415,Entire home/apt,269,3,27,2019-05-24,0.96,1,318
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23273,-123.02747,Private room,70,2,72,2020-03-06,1.22,2,45
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,100,30,6,2018-03-30,0.13,5,90
322824,Modern Yaletown 1BR |➼ GREAT VIEW ➼CENTRAL,1652613,Blake,,Downtown,49.27608,-123.12452,Entire home/apt,163,30,143,2019-07-26,1.66,1,103
323090,Beautiful fully furnished suite,1555022,Katya And Nick,,Downtown,49.28244,-123.12293,Entire home/apt,168,30,71,2017-09-04,0.98,1,0
359942,Stylish Modern Central Downtown★★★★★★★,1200456,Nala,,Downtown,49.27634,-123.11825,Private room,237,30,44,2019-12-14,0.38,7,364
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.27799,-123.07101,Private room,48,30,57,2019-08-17,0.96,1,339
415700,"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",83871,Adam,,Renfrew-Collingwood,49.2332,-123.0551,Private room,74,1,210,2021-01-31,2.91,3,324
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28211,-123.10453,Entire home/apt,250,3,78,2019-09-23,1.60,1,258
444187,UNIQUE 4 Bedroom Character House near Downtown!,276869,Chloe,,Mount Pleasant,49.26743,-123.11178,Entire home/apt,395,7,7,2018-09-03,0.17,1,0
448104,Home (Office) Away from Home – Heart of Downtown,179396,Lili,,Downtown,49.28063,-123.12502,Entire home/apt,130,30,258,2020-03-31,3.30,3,0
461370,Lovely large room w/ private bath,1200456,Nala,,Killarney,49.22834,-123.03047,Private room,85,30,44,2019-09-22,0.45,7,365
461386,Beautiful room (s) Vancouver Home,1200456,Nala,,Killarney,49.23034,-123.02971,Private room,85,30,35,2019-09-02,0.41,7,365
475296,Entire 1400sf white loft with large deck + rooftop,2356016,Jocelyn,,Downtown Eastside,49.28241,-123.10381,Entire home/apt,347,1,146,2021-04-14,5.62,1,332
485225,condos in vancouver BC,103427,Jacqueline M,,Downtown,49.28052,-123.12691,Entire home/apt,345,2,1,2014-08-04,0.01,1,365
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.28062,-123.11815,Entire home/apt,124,31,158,2017-06-15,1.78,1,310
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,375,5,30,2020-08-10,0.27,2,234
507767,LEVEL | One Bedroom Suite | Downtown Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.27741,-123.12292,Entire home/apt,265,30,3,2013-06-03,0.04,22,365
540348,Modern Architectural lakeside Home On The Park,2655554,Kristen,,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,457,3,34,2021-02-15,0.35,1,335
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,80,30,188,2018-07-25,2.20,2,279
569160,5 min walk to St Paul’s hospital & Davie St.,2799473,Heath,,Downtown,49.27713,-123.13155,Entire home/apt,121,30,44,2018-08-02,1.04,1,311
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Arash,,Downtown,49.27999,-123.1075,Entire home/apt,538,2,43,2021-01-27,0.44,2,341
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,,Grandview-Woodland,49.26775,-123.06862,Entire home/apt,82,30,57,2016-08-19,0.82,1,178
654744,English Bay Hideaway @ Stanley Park,2796859,James,,West End,49.29178,-123.14175,Entire home/apt,130,30,61,2018-07-29,0.71,1,250
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,77,30,22,2017-06-01,0.22,2,148
659986,Nice room in amazing luxury home near DOWNTOWN+UBC,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,93,31,27,2018-05-06,0.44,2,0
688038,Vancouver's Beach At Your Doorstep,268742,Kayla,,West End,49.28028,-123.138,Entire home/apt,296,2,29,2019-07-06,0.29,1,318
703179,Entire cute  condo full of art,3246254,Izabela,,Downtown,49.27945,-123.10875,Entire home/apt,147,2,160,2021-07-29,1.63,1,91
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,,West End,49.28104,-123.13621,Entire home/apt,135,30,79,2017-12-07,0.90,1,278
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,,Kitsilano,49.26026,-123.18195,Entire home/apt,150,31,11,2020-04-15,0.11,1,120
735468,English Bay Views,3462044,Shea,,West End,49.28059,-123.1364,Entire home/apt,181,1,118,2019-12-13,4.61,1,332
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,,Kitsilano,49.25996,-123.16653,Entire home/apt,125,2,78,2019-08-31,1.28,1,0
763445,Very Convenient Mini-suite,169365,Peter,,Renfrew-Collingwood,49.24438,-123.04453,Entire home/apt,51,5,180,2020-02-24,3.82,1,7
771366,LEVEL | Studio | Lux Amenities Downtown Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.2794,-123.12181,Entire home/apt,239,30,4,2013-08-10,0.05,22,364
771380,LEVEL | Two Bedroom Suite | Lux Amenities Downtown,2502595,LEVEL Furnished Living,,Downtown,49.27918,-123.12187,Entire home/apt,400,30,7,2014-10-01,0.07,22,364
784153,The Garden Quarter in Kitsilano,3211112,Rasha,,Kitsilano,49.26186,-123.17438,Entire home/apt,66,30,50,2015-10-06,1.29,3,241
785297,The Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26355,-123.17326,Private room,47,14,67,2021-01-03,0.80,3,287
785752,The Garden Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26213,-123.17482,Entire home/apt,114,30,3,2016-09-17,0.03,3,237
796603,Exellent for International Student,4196444,Milorad,,West End,49.28087,-123.13525,Shared room,30,30,0,,,1,0
798293,Studio apartment-like a 3+star hotel,72649,Melanie,,Downtown,49.27719,-123.13011,Entire home/apt,120,90,57,2019-12-30,0.54,1,207
801222,fully furnished suite near VGH,4217281,Jennifer,,Fairview,49.25804,-123.12119,Entire home/apt,75,30,22,2015-07-07,0.22,3,296
824612,East Village Private Garden Gem!,4326869,Marketa,,Hastings-Sunrise,49.28618,-123.05403,Entire home/apt,84,31,63,2017-07-16,0.74,1,178
828920,1 bedroom+Den Monthly rentals only,4345039,Biljana,,Downtown,49.27317,-123.11961,Entire home/apt,170,30,3,2015-11-05,0.04,1,342
874731,Sunny room with private bathroom and large patio,2216706,Matthew,,Fairview,49.25785,-123.12199,Private room,89,6,52,2019-09-27,1.07,1,22
875309,Heritage Home near Kits Beach,4621004,Judy,,Kitsilano,49.27073,-123.16325,Entire home/apt,275,7,32,2018-11-18,0.43,1,225
885600,"Dunbar near UBC: Clean, comfortable + quiet",4693732,David & Patti,,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,130,3,196,2019-09-07,2.65,1,290
939882,The Nicola House in English bay,5066370,Myf,,West End,49.28649,-123.13458,Entire home/apt,328,1,113,2018-06-28,1.51,1,273
944021,Modern Serenity - Heart of Yaletown/Downtown,5109267,Grace,,Downtown,49.27805,-123.11794,Entire home/apt,130,90,4,2014-01-03,0.04,1,281
958090,Private apartment-Yaletown Downtown,1200456,Nala,,Downtown,49.27744,-123.11524,Entire home/apt,500,30,10,2013-08-16,0.10,7,365
961006,Oakridge Canada Line completely renovated home,5233549,Joyce,,Riley Park,49.23569,-123.10987,Entire home/apt,219,1,7,2017-07-21,0.07,4,0
961831,Spacious Room in Character Home,3751879,Jayden,,Kitsilano,49.26648,-123.15939,Private room,70,4,10,2021-07-04,10,2,337
980511,"261 Yaletown Studio at ""Space""",600607,Bruce,,Downtown,49.27489,-123.12654,Entire home/apt,70,30,7,2015-10-01,0.09,46,11
994969,152 Studio (no Bedroom),600607,Bruce,,Downtown,49.28006,-123.12673,Entire home/apt,61,30,1,2013-09-17,0.01,46,36
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,Bruce,,West End,49.28837,-123.12766,Entire home/apt,88,30,12,2020-10-17,0.25,46,0
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Selina,,Downtown,49.27804,-123.12531,Entire home/apt,280,180,2,2014-05-08,0.02,2,365
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!,5539641,Selina,,Downtown,49.27828,-123.12671,Entire home/apt,180,180,1,2013-06-02,0.01,2,365
1012385,comfy stay in clean victorian house,5569906,Mark Anthony,,Mount Pleasant,49.25674,-123.0874,Entire home/apt,80,2,279,2020-10-30,5.50,1,61
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Hajime,,Downtown,49.27747,-123.12098,Entire home/apt,70,30,101,2021-04-30,1.52,2,30
1021669,Yaletown Deluxe Studio Condominium,5623565,Hajime,,Downtown,49.27703,-123.12692,Entire home/apt,70,30,138,2020-04-19,1.57,2,191
1032892,Artist's Character home in 'hip' Commercial Drive,2378744,Lori,,Grandview-Woodland,49.27241,-123.06332,Private room,98,2,61,2020-09-30,1.45,1,158
1090662,FURNISHED 1 BED + DEN IN YALETOWN,5992916,Natalia,,Downtown,49.27613,-123.12389,Entire home/apt,75,360,0,,,1,365
1103566,"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",6060927,Arin,,Downtown,49.28028,-123.10737,Entire home/apt,495,2,287,2019-12-15,4.81,1,289
1109821,136 Lord Stanley Great price!,600607,Bruce,,West End,49.29258,-123.13446,Entire home/apt,69,30,11,2014-06-01,0.22,46,6
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,,Kitsilano,49.26008,-123.15989,Entire home/apt,880,5,36,2019-06-30,0.82,1,65
1118858,*Best choice in downtown-5 Stars * -3,70137,Kai,,West End,49.28239,-123.13021,Private room,85,30,58,2019-08-18,1.20,3,262
1126273,Yaletown/Downtown  1 Bedroom Condo,254337,Edgar,,Downtown,49.28119,-123.12033,Entire home/apt,159,30,1,2019-07-08,0.04,2,337
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27925,-123.08814,Entire home/apt,180,3,261,2019-09-21,2.69,1,281
1178149,Cozy space in East Vancouver,6165412,Sylvia,,Hastings-Sunrise,49.26957,-123.04828,Entire home/apt,76,2,41,2019-08-31,1.10,1,53
1214617,Cool cozy suite on The Drive,6630357,Divina And Viv,,Grandview-Woodland,49.26731,-123.06909,Entire home/apt,149,3,194,2019-09-01,2.20,1,58
1223989,Stunning Suite Heart of DT w/Parking and Office,6677154,Amanda,,Downtown,49.27843,-123.12901,Entire home/apt,130,90,101,2017-05-17,1.60,1,230
1229714,Luxury apartment Downtown Vancouver,1200456,Nala,,Downtown,49.28361,-123.11536,Entire home/apt,288,30,3,2019-06-23,0.11,7,365
1273760,Private Hotel-Style Suite in a Downtown Boutique High-Rise,6033,Cam,,Downtown,49.28478,-123.1192,Private room,175,2,440,2020-03-06,5.20,2,289
1291394,Clean New Kits 3 bedroom/ 2bath!,7021457,Leila,,Kitsilano,49.26889,-123.18543,Entire home/apt,184,30,38,2016-06-25,0.39,2,219
1316419,120 501 Pacific,600607,Bruce,,Downtown,49.28279,-123.1222,Entire home/apt,71,181,2,2014-07-01,0.02,46,328
1316477,224 Yaletown Park.  Long term stay welcome,600607,Bruce,,Downtown,49.27859,-123.11993,Entire home/apt,80,90,7,2020-09-30,0.12,46,99
1343411,Close to Anywhere: Location Location Location,6904778,Mari,,Downtown Eastside,49.27627,-123.10013,Entire home/apt,95,1,55,2020-11-01,1.68,1,0
1343519,*Best choice in downtown-5 Stars* -1,70137,Kai,,West End,49.28247,-123.13068,Private room,85,30,64,2019-08-20,1.14,3,365
1360765,Ultra Modern Apartment in Yaletow,7338933,Sadiq,,Downtown,49.284,-123.11432,Entire home/apt,97,30,112,2016-06-08,1.31,3,188
1361276,Private space in heritage home in lovely area,1743089,Darren,,Kensington-Cedar Cottage,49.25808,-123.07538,Entire home/apt,150,14,16,2019-03-12,0.29,4,0
1365609,AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,7336501,Maha,,West End,49.27932,-123.12911,Entire home/apt,240,3,107,2020-03-11,2.33,1,134
1378220,QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,7465731,Brian,,West Point Grey,49.26026,-123.20135,Entire home/apt,106,1,75,2020-09-13,1.54,2,242
1398788,Stunning 1 Bedroom Laneway,7554741,Ruth,,Arbutus Ridge,49.23968,-123.16762,Entire home/apt,104,31,87,2019-11-29,0.89,1,276
1399744,Luxury 2 BDR With Wrap Around Deck,7560143,Sandy,,Mount Pleasant,49.26964,-123.11064,Entire home/apt,450,30,9,2016-07-08,0.12,1,173
1417881,Renovated Character Home - 3 Bdrm,7499193,Tracey,,Grandview-Woodland,49.26732,-123.06827,Entire home/apt,399,7,42,2020-11-01,0.48,2,324
1466647,One Bedroom & Secured Underground Parking,7856227,Christian,,Downtown Eastside,49.28164,-123.11006,Entire home/apt,199,30,14,2019-06-05,0.17,1,90
1502887,244 -2 BEDROOM. WATER VIEW! 6 MONTH EXTENDED STAY,600607,Bruce,,Downtown,49.29014,-123.12716,Entire home/apt,91,180,5,2018-12-01,0.05,46,99
1507975,Modern new room with private entry!,51695,Natasha & Paolo,,Riley Park,49.24882,-123.09121,Private room,90,3,262,2021-05-08,4.36,2,315
1525113,"114 Studio ""West of Denman""",600607,Bruce,,West End,49.29101,-123.14085,Entire home/apt,68,30,8,2014-07-27,0.22,46,111
1623556,Private top floor on vibrant Main St,8633501,Robin,,Riley Park,49.25259,-123.09292,Entire home/apt,91,1,246,2019-08-02,3.28,1,241
1629426,In the heart of the city,8368718,Yvonne,,Downtown,49.27643,-123.12181,Entire home/apt,90,30,124,2018-08-31,1.75,3,5
1629480,Garden Suite-Quiet/Private&Central,8660533,Tracy And Richard,,Riley Park,49.25225,-123.10756,Entire home/apt,75,30,132,2021-01-08,2.07,1,265
1657214,"Amazing 2000sqft Downtown loft, 3 patios + Parking",8784861,Dianna,,Downtown Eastside,49.28167,-123.10984,Entire home/apt,250,90,5,2021-05-08,0.05,1,341
1678734,"Bright, Modern Space on Beautiful Park",1896075,Jen & Jean,,Kensington-Cedar Cottage,49.253,-123.0657,Entire home/apt,125,3,61,2020-02-29,2.56,1,219
1703616,Beautiful Kitsilano Apartment..,8993938,James And Jewel,,Kitsilano,49.26548,-123.14579,Entire home/apt,150,31,0,,,1,280
1717967,2 Bedroom Garden Flat - Main Street,9057463,Mary,,Riley Park,49.24778,-123.09867,Entire home/apt,157,2,267,2020-09-02,2.95,1,28
1736349,Master bedroom + private bathroom + secure parking,6120439,Kerry,,Kensington-Cedar Cottage,49.25349,-123.07603,Private room,100,3,101,2019-09-01,2.14,2,0
1778529,Yaletown high rise studio,4795850,Nolan &  Michelle Musey,,Downtown,49.27695,-123.11922,Entire home/apt,83,30,123,2016-04-05,1.40,3,335
1812172,Garden Studio - 4 month min,9494172,Alice,,Kitsilano,49.25986,-123.17281,Entire home/apt,80,119,13,2015-10-01,0.15,1,0
1820919,Film Industry loves this house! 5 min to VGH,7281178,Jodi,,Mount Pleasant,49.2585,-123.11479,Entire home/apt,390,2,35,2020-09-27,1.56,1,37
1830733,Cozy Retreat - Strathcona,9575419,Elana & Claudio,,Downtown Eastside,49.27866,-123.08627,Entire home/apt,125,2,243,2021-05-31,2.89,4,226
1869071,156 One Bedroom in Downtown at The Electra,600607,Bruce,,Downtown,49.28216,-123.12438,Entire home/apt,85,30,3,2018-09-13,0.04,46,41
1898584,Tinseltown Apartment,9862171,John,,Downtown,49.27915,-123.10642,Entire home/apt,60,30,32,2016-05-04,0.35,2,189
1932171,Commercial Drive Garden Suite,5026894,Lois,,Grandview-Woodland,49.26861,-123.06666,Entire home/apt,97,31,11,2018-08-28,0.18,1,0
1936740,Luxury affordable monthly stay in 1 BR,5510458,Alison,,Shaughnessy,49.25646,-123.14563,Entire home/apt,80,30,1,2017-06-11,0.02,1,219
1937255,Garden Studio off Commercial Drive!,9288157,Tamar,,Grandview-Woodland,49.27774,-123.06582,Entire home/apt,115,2,213,2020-10-07,2.51,2,22
1950491,Enjoy our trendy neighbourhood close to transit,9452051,Sandra,,Riley Park,49.252,-123.11081,Entire home/apt,200,3,63,2021-07-24,1.34,1,0
1950844,Stylish and Modern 2Bed West End Suite!,1469405,Phil,,West End,49.28954,-123.13711,Entire home/apt,163,1,55,2020-03-01,2.56,1,318
1954173,Sublet on Cherry-Blossom Street,1257898,Suez,,Grandview-Woodland,49.27022,-123.06067,Entire home/apt,122,30,8,2021-04-01,0.10,1,229
1961440,Yaletown 1 Br Condo Monthly Only,878531,Samy,,Downtown,49.27336,-123.12771,Entire home/apt,126,30,1,2019-01-31,0.03,1,327
1970354,Family friendly & centrally located,10174262,Tiffany & Michael,,Kerrisdale,49.22651,-123.14179,Entire home/apt,129,2,109,2021-07-19,1.26,1,98
1995592,"Charming ""Kitsilano Family Place""",10285482,Allan And Ellen,,Kitsilano,49.263252,-123.164825,Private room,110,2,266,2019-09-30,3.15,1,0
2003897,GREAT SUITE w GARDEN PATIO!  CENTRALLY LOCATED!!,10317553,Rita,,Fairview,49.26263,-123.11627,Entire home/apt,120,120,3,2014-01-29,0.03,1,7
2008047,Amazing View from a Modern Loft,7745079,Chad,,Strathcona,49.28519,-123.09872,Entire home/apt,160,30,53,2018-08-19,0.61,1,334
2011559,Sunny family-friendly house in Kits,9372276,Rica,,Kitsilano,49.26057,-123.15881,Entire home/apt,495,5,28,2019-08-01,0.45,1,17
2017305,Experience Vancouver on the Drive!,10374538,David,,Grandview-Woodland,49.26411,-123.06803,Entire home/apt,189,30,49,2018-06-10,1.13,3,34
2033952,Beautiful Kitsilano - Covid-19 Safe,557301,Tyler,,Kitsilano,49.26715,-123.15325,Entire home/apt,99,2,6,2020-09-09,0.31,1,0
2041582,"Kitsilano Point, VERY CLEAN, welcoming and bright",1728615,Francois,,Kitsilano,49.2753,-123.14721,Entire home/apt,135,30,241,2020-03-01,3.17,1,218
2042431,Yaletown 1BD Condo @ Homer & Robson,9582918,Sandy,,Downtown,49.28005,-123.11659,Entire home/apt,135,30,128,2021-01-03,1.46,1,322
2046259,2 bdrm in COMPLETLY RENOVATED HOME BY CANADA LINE,5233549,Joyce,,Riley Park,49.23573,-123.10819,Entire home/apt,219,1,7,2018-07-24,0.11,4,0
2056676,Cozy Modern apartment in Yaletown,7338933,Sadiq,,Downtown,49.27393,-123.11599,Entire home/apt,110,30,90,2015-10-13,1.23,3,244
2084273,Gorgeous New House Double Ensuite,7940236,Renee,,Renfrew-Collingwood,49.24976,-123.03547,Private room,75,31,42,2017-08-22,0.51,5,333
2092610,A spacious modern apartment,1172047,Trevor,,Mount Pleasant,49.2655,-123.0969,Entire home/apt,130,30,33,2021-03-06,0.36,2,242
2106364,Gorgeous New House Single Ensuite,7940236,Renee,,Renfrew-Collingwood,49.24958,-123.0359,Private room,65,31,22,2014-08-18,0.24,5,161
2109035,small room with single bed by beach,10571680,Paolo,,Kitsilano,49.26791,-123.16117,Private room,43,31,6,2014-07-26,0.07,1,207
2168943,South Granville 2 bedroom townhome,11065739,Catherine,,Fairview,49.25972,-123.14269,Entire home/apt,175,7,14,2015-06-29,0.21,1,0
2183209,Kitsilano PENTHOUSE,11132986,Daniel,,Kitsilano,49.26597,-123.15633,Entire home/apt,160,30,127,2020-12-26,3.31,1,305
2188113,5 star Luxury ShangriLa hotel condo,477297,Hanna & Michael,,West End,49.28514,-123.12275,Entire home/apt,500,30,36,2018-10-07,0.82,1,315
